"product_id","active","title","parent_child_type"
"PRO_0003","true","Blankets","standalone"
"PRO_0032","true","Fleece Pullover","variation"
"PRO_0065","true","Windbreaker Jacket","variation"
"PRO_0004","true","Bronto Apron","standalone"
"PRO_0012","true","Bronto Engineering Shirt","variation"
"PRO_0061","true","Toddler's Bronto Shirt","variation"
"PRO_0045","true","Men's Bronto Shirt","variation"
"PRO_0041","true","Kid's Bronto Shirt","variation"
"PRO_0026","true","Camelbak Bronto Water Bottle","standalone"
"PRO_0055","true","Silicone Bronto Coffee Sleeve","standalone"
"PRO_0018","true","Bronto Engineering Shirt","variation"
"PRO_0015","true","Bronto Engineering Shirt","variation"
"PRO_0022","true","Bronto Laptop Bag","standalone"
"PAR_0006","true","Toddler's Bronto Shirt","parent"
"PRO_0047","true","Men's Bronto Shirt","variation"
"PAR_0008","true","Women's Bronto Shirt","parent"
"PRO_0063","true","Windbreaker Jacket","variation"
"PRO_0058","true","Toddler's Bronto Shirt","variation"
"PRO_0009","true","Bronto Engineering Shirt","variation"
"PRO_0006","true","Bronto Duffle Bag","standalone"
"PRO_0062","true","Travel Mug","standalone"
"PRO_0051","true","Men's Bronto Shirt","variation"
"PRO_0039","true","ID Badge Reel","standalone"
"PRO_0010","true","Bronto Engineering Shirt","variation"
"PRO_0034","true","Fleece Pullover","variation"
"PRO_0049","true","Men's Bronto Shirt","variation"
"PRO_0043","true","Men's Bronto Shirt","variation"
"PRO_0069","true","Women's Bronto Shirt","variation"
"PRO_0038","true","Bronto Pen","standalone"
"PRO_0054","true","OGIO Bronto Backpack","standalone"
"PRO_0068","true","Women's Bronto Shirt","variation"
"PRO_0040","true","Kid's Bronto Shirt","variation"
"PAR_0005","true","Men's Bronto Shirt","parent"
"PRO_0013","true","Bronto Engineering Shirt","variation"
"PRO_0053","true","Moleskine Notebook","standalone"
"PRO_0011","true","Bronto Engineering Shirt","variation"
"PRO_0008","true","Bronto Engineering Shirt","variation"
"PRO_0001","true","Baby Bronto Hat","standalone"
"PRO_0067","true","Windbreaker Jacket","variation"
"PRO_0059","true","Toddler's Bronto Shirt","variation"
"PRO_0075","true","Women's Bronto Shirt","variation"
"PRO_0014","true","Bronto Engineering Shirt","variation"
"PRO_0020","true","Bronto Engineering Shirt","variation"
"PRO_0073","true","Women's Bronto Shirt","variation"
"PRO_0019","true","Bronto Engineering Shirt","variation"
"PRO_0050","true","Men's Bronto Shirt","variation"
"PRO_0033","true","Fleece Pullover","variation"
"PRO_0056","true","Spiral Notebook","standalone"
"PAR_0003","true","Fleece Pullover","parent"
"PRO_0036","true","Frosted Bronto Pint Glass","standalone"
"PRO_0025","true","Bronto Onesie","variation"
"PRO_0070","true","Women's Bronto Shirt","variation"
"PAR_0004","true","Kid's Bronto Shirt","parent"
"PRO_0028","true","Croakie","standalone"
"PRO_0007","true","Bronto Engineering Shirt","variation"
"PRO_0016","true","Bronto Engineering Shirt","variation"
"PRO_0035","true","Freaker","standalone"
"PRO_0044","true","Men's Bronto Shirt","variation"
"PRO_0029","true","Eco Bronto Water Bottle","standalone"
"PRO_0046","true","Men's Bronto Shirt","variation"
"PRO_0048","true","Men's Bronto Shirt","variation"
"PRO_0074","true","Women's Bronto Shirt","variation"
"PRO_0060","true","Toddler's Bronto Shirt","variation"
"PRO_0021","true","Bronto Engineering Shirt","variation"
"PRO_0064","true","Windbreaker Jacket","variation"
"PRO_0017","true","Bronto Engineering Shirt","variation"
"PRO_0052","true","Men's Bronto Shirt","variation"
"PRO_0027","true","Ceramic Coffee Mug","standalone"
"PAR_0007","true","Windbreaker Jacket","parent"
"PRO_0023","true","Bronto Onesie","variation"
"PRO_0066","true","Windbreaker Jacket","variation"
"PAR_0009","true","Women's Gray Bronto Shirt","parent"
"PRO_0071","true","Women's Bronto Shirt","variation"
"PRO_0042","true","Kid's Bronto Shirt","variation"
"PRO_0072","true","Women's Bronto Shirt","variation"
"PAR_0002","true","Bronto Onesie","parent"
"PRO_0037","true","Green / Black Tote Bag","standalone"
"PAR_0001","true","Bronto Engineering Shirt","parent"
"PRO_0024","true","Bronto Onesie","variation"
"PRO_0031","true","Fleece Pullover","variation"
"PRO_0005","true","Bronto Baseball Hat","standalone"
"PRO_0057","true","Stemless Wine Glass","standalone"
"PRO_0030","true","Fleece Pullover","variation"
"PRO_0002","true","Beach Towel","standalone"
